sigma,gauss_threshold,overlap_threshold,center_distance,number_samples,recall,precision,f1_score
6.546546546546547,0.11411411411411411,2.5025025025025025,22.792792792792792,282,1.0,1.0,1.0
2.5025025025025025,0.22822822822822822,14.214214214214214,22.64264264264264,105,1.0,1.0,1.0
6.926926926926927,0.7587587587587588,91.3913913913914,16.756756756756758,90,0.0,0.0,0.0
6.046046046046046,0.43243243243243246,3.2032032032032034,0.9009009009009009,96,0.0,0.0,0.0
2.2322322322322323,0.23823823823823823,51.751751751751755,18.4984984984985,28,1.0,1.0,1.0
5.7457457457457455,0.2032032032032032,73.37337337337338,19.96996996996997,719,1.0,0.5,0.6666666666666666
5.585585585585585,0.4294294294294294,22.522522522522525,13.783783783783784,604,0.0,0.0,0.0
2.8428428428428427,0.8288288288288288,89.0890890890891,0.18018018018018017,778,0.0,0.0,0.0
8.258258258258259,0.16316316316316315,71.47147147147147,12.972972972972974,349,0.0,0.0,0.0
2.8428428428428427,0.15915915915915915,22.022022022022025,29.42942942942943,782,1.0,1.0,1.0
3.4434434434434436,0.1041041041041041,9.40940940940941,11.681681681681681,100,1.0,1.0,1.0
3.6736736736736737,0.8678678678678678,35.23523523523524,18.55855855855856,271,1.0,1.0,1.0
8.268268268268269,0.044044044044044044,74.77477477477478,14.114114114114114,550,0.0,0.0,0.0
1.2712712712712713,0.996996996996997,94.4944944944945,11.621621621621621,81,1.0,1.0,1.0
5.655655655655655,0.3003003003003003,84.98498498498499,19.30930930930931,634,1.0,0.5,0.6666666666666666
9.06906906906907,0.8828828828828829,37.03703703703704,17.74774774774775,197,0.0,0.0,0.0
7.217217217217217,0.07107107107107107,4.604604604604605,20.33033033033033,234,0.0,0.0,0.0
7.917917917917918,0.2962962962962963,8.108108108108109,26.276276276276278,239,1.0,1.0,1.0
8.87887887887888,0.1031031031031031,38.93893893893894,8.528528528528529,465,0.0,0.0,0.0
6.506506506506507,0.8548548548548548,37.33733733733734,4.984984984984985,380,0.0,0.0,0.0
3.6336336336336337,0.21421421421421422,68.66866866866867,8.198198198198199,719,0.0,0.0,0.0
9.5995995995996,0.6996996996996997,66.36636636636636,2.1921921921921923,624,0.0,0.0,0.0
6.506506506506507,0.17517517517517517,54.65465465465466,22.4024024024024,251,1.0,1.0,1.0
1.6716716716716717,0.47347347347347346,38.83883883883884,8.288288288288289,948,1.0,1.0,1.0
6.556556556556557,0.7047047047047047,57.05705705705706,6.726726726726727,702,0.0,0.0,0.0
3.3233233233233235,0.8638638638638638,78.67867867867868,23.843843843843842,58,1.0,1.0,1.0
2.3423423423423424,0.8418418418418419,3.2032032032032034,24.744744744744743,324,1.0,1.0,1.0
4.104104104104104,0.27427427427427425,6.706706706706707,6.486486486486487,936,0.0,0.0,0.0
9.65965965965966,0.5805805805805806,89.7897897897898,22.07207207207207,323,0.0,0.0,0.0
2.1721721721721723,0.6716716716716716,51.151151151151154,12.162162162162161,906,1.0,1.0,1.0
9.36936936936937,0.6586586586586587,46.94694694694695,4.384384384384385,272,0.0,0.0,0.0
1.4214214214214214,0.25225225225225223,76.27627627627628,17.237237237237238,552,1.0,1.0,1.0
2.6926926926926926,0.7647647647647647,59.85985985985987,13.153153153153154,920,1.0,1.0,1.0
5.975975975975976,0.4084084084084084,37.03703703703704,6.726726726726727,142,0.0,0.0,0.0
5.215215215215215,0.5055055055055055,9.30930930930931,23.213213213213212,49,1.0,1.0,1.0
8.81881881881882,0.11211211211211211,15.615615615615617,19.27927927927928,164,0.0,0.0,0.0
8.118118118118119,0.6966966966966966,43.24324324324325,18.31831831831832,66,0.0,0.0,0.0
3.943943943943944,0.39039039039039036,61.06106106106107,14.384384384384385,542,1.0,1.0,1.0
2.5725725725725725,0.994994994994995,56.65665665665666,26.456456456456458,966,1.0,1.0,1.0
0.11011011011011011,0.6966966966966966,73.87387387387388,3.5135135135135136,699,1.0,1.0,1.0
9.06906906906907,0.5495495495495496,76.87687687687688,8.198198198198199,788,0.0,0.0,0.0
6.566566566566567,0.3483483483483483,11.411411411411413,9.00900900900901,446,0.0,0.0,0.0
1.6116116116116117,0.46446446446446443,0.3003003003003003,29.30930930930931,740,1.0,1.0,1.0
8.96896896896897,0.7367367367367368,26.926926926926928,29.87987987987988,513,1.0,1.0,1.0
7.807807807807808,0.18218218218218218,51.951951951951955,28.04804804804805,109,1.0,1.0,1.0
8.91891891891892,0.6406406406406406,30.530530530530534,25.855855855855857,655,1.0,0.5,0.6666666666666666
5.195195195195195,0.6236236236236237,20.32032032032032,4.684684684684685,383,0.0,0.0,0.0
7.807807807807808,0.16516516516516516,55.25525525525526,29.30930930930931,798,1.0,0.5,0.6666666666666666
9.44944944944945,0.5435435435435435,94.0940940940941,0.0,614,0.0,0.0,0.0
3.3133133133133135,0.5005005005005005,1.9019019019019021,3.4234234234234235,952,0.0,0.0,0.0
3.7137137137137137,0.8998998998998999,85.18518518518519,24.804804804804803,315,1.0,1.0,1.0
2.4524524524524525,0.05905905905905906,24.624624624624627,26.996996996996998,581,1.0,1.0,1.0
9.6996996996997,0.08008008008008008,8.70870870870871,22.49249249249249,498,0.0,0.0,0.0
8.358358358358359,0.07007007007007007,77.87787787787788,16.366366366366368,785,0.0,0.0,0.0
1.2812812812812813,0.13113113113113112,67.56756756756756,14.594594594594595,970,1.0,1.0,1.0
5.625625625625625,0.16916916916916916,27.127127127127128,16.216216216216218,894,0.0,0.0,0.0
6.216216216216216,0.43343343343343343,98.7987987987988,6.486486486486487,952,0.0,0.0,0.0
5.525525525525525,0.7737737737737738,74.77477477477478,21.2012012012012,206,1.0,1.0,1.0
7.307307307307307,0.31931931931931934,40.84084084084084,20.63063063063063,666,0.0,0.0,0.0
3.823823823823824,0.44844844844844844,92.1921921921922,15.885885885885886,463,1.0,1.0,1.0
1.2312312312312312,0.25325325325325326,23.023023023023026,1.951951951951952,347,0.0,0.0,0.0
0.21021021021021022,0.6026026026026026,56.75675675675676,7.057057057057057,603,1.0,1.0,1.0
2.2522522522522523,0.007007007007007007,7.207207207207207,21.74174174174174,647,1.0,1.0,1.0
0.6006006006006006,0.23423423423423423,6.906906906906907,27.83783783783784,33,1.0,1.0,1.0
8.80880880880881,0.3383383383383383,7.207207207207207,15.795795795795796,244,0.0,0.0,0.0
2.8528528528528527,0.6856856856856857,49.74974974974975,6.576576576576577,553,0.0,0.0,0.0
1.3513513513513513,0.7407407407407407,95.7957957957958,27.117117117117118,585,1.0,1.0,1.0
5.905905905905906,0.4844844844844845,24.824824824824827,24.114114114114113,485,1.0,1.0,1.0
8.268268268268269,0.4164164164164164,19.41941941941942,2.8828828828828827,100,0.0,0.0,0.0
6.746746746746747,0.44144144144144143,36.23623623623624,13.003003003003004,421,0.0,0.0,0.0
4.784784784784785,0.8848848848848849,74.67467467467468,1.6516516516516517,690,0.0,0.0,0.0
6.696696696696697,0.6616616616616616,10.01001001001001,1.8618618618618619,413,0.0,0.0,0.0
7.4574574574574575,0.34734734734734735,81.98198198198199,26.486486486486488,112,1.0,1.0,1.0
2.5425425425425425,0.1961961961961962,19.41941941941942,16.486486486486488,460,1.0,1.0,1.0
1.4314314314314314,0.43243243243243246,18.71871871871872,8.558558558558559,474,1.0,1.0,1.0
2.5525525525525525,0.8958958958958959,94.5945945945946,2.3123123123123124,454,0.0,0.0,0.0
8.278278278278279,0.8828828828828829,87.6876876876877,16.906906906906908,101,0.0,0.0,0.0
0.5105105105105106,0.6676676676676676,55.35535535535536,25.705705705705707,16,1.0,1.0,1.0
9.92992992992993,0.09509509509509509,94.8948948948949,23.153153153153152,870,0.0,0.0,0.0
