sigma,gauss_threshold,overlap_threshold,center_distance,pair_gap,number_samples,recall,precision,f1_score
32.732732732732735,0.11411411411411411,2.5025025025025025,75.97597597597598,14.064064064064064,251,0.0,0.0,0.0
11.411411411411413,0.14214214214214213,75.47547547547548,10.41041041041041,34.63463463463464,759,0.5,1.0,0.6666666666666666
45.6956956956957,0.5585585585585585,8.90890890890891,60.46046046046047,21.621621621621625,33,0.0,0.0,0.0
1.5015015015015016,0.09509509509509509,22.322322322322325,23.823823823823826,25.875875875875877,617,1.0,1.0,1.0
1.3513513513513515,0.5745745745745746,20.32032032032032,73.37337337337338,33.28328328328328,719,1.0,1.0,1.0
27.92792792792793,0.4294294294294294,22.522522522522525,45.94594594594595,30.180180180180184,285,0.0,0.0,0.0
41.44144144144144,0.8908908908908909,0.6006006006006006,77.77777777777779,41.291291291291294,164,0.5,1.0,0.6666666666666666
35.73573573573574,0.43243243243243246,34.83483483483484,28.42842842842843,7.957957957957959,221,0.0,0.0,0.0
49.04904904904905,0.7817817817817818,34.434434434434436,10.41041041041041,4.704704704704705,390,0.0,0.0,0.0
4.954954954954955,0.36736736736736736,86.78678678678679,35.23523523523524,30.930930930930934,271,1.0,1.0,1.0
41.34134134134134,0.044044044044044044,74.77477477477478,47.04704704704705,27.47747747747748,128,0.0,0.0,0.0
49.84984984984985,0.944944944944945,38.73873873873874,8.008008008008009,28.27827827827828,301,0.0,0.0,0.0
42.492492492492495,0.6436436436436437,63.36336336336337,90.6906906906907,44.14414414414415,371,0.5,1.0,0.6666666666666666
29.57957957957958,0.1961961961961962,72.17217217217218,7.107107107107107,2.3023023023023024,678,0.0,0.0,0.0
11.661661661661663,0.7917917917917918,29.62962962962963,8.108108108108109,43.793793793793796,239,0.5,1.0,0.6666666666666666
44.394394394394396,0.1031031031031031,38.93893893893894,28.42842842842843,23.223223223223226,651,0.0,0.0,0.0
42.74274274274275,0.3733733733733734,16.616616616616618,37.93793793793794,18.16816816816817,215,0.0,0.0,0.0
34.334334334334336,0.2732732732732733,71.87187187187187,95.995995995996,34.98498498498499,664,0.5,1.0,0.6666666666666666
3.6536536536536537,0.6236236236236237,65.06506506506507,17.51751751751752,27.32732732732733,747,1.0,1.0,1.0
12.512512512512513,0.16716716716716717,47.34734734734735,38.83883883883884,13.813813813813814,948,0.5,0.5,0.5
32.78278278278278,0.7047047047047047,57.05705705705706,22.422422422422425,35.08508508508509,333,0.0,0.0,0.0
43.193193193193196,0.7867867867867868,79.47947947947948,5.705705705705706,11.711711711711713,842,0.0,0.0,0.0
1.6016016016016017,0.8248248248248248,32.332332332332335,41.04104104104104,13.713713713713714,68,1.0,1.0,1.0
10.810810810810812,0.9359359359359359,96.5965965965966,58.05805805805806,44.8948948948949,736,1.0,1.0,1.0
16.116116116116117,0.2172172172172172,67.16716716716716,51.151151151151154,20.27027027027027,906,1.0,1.0,1.0
46.84684684684685,0.6586586586586587,46.94694694694695,14.614614614614615,13.563563563563564,143,0.0,0.0,0.0
12.612612612612613,0.7627627627627628,57.45745745745746,55.15515515515516,13.463463463463464,765,1.0,1.0,1.0
29.929929929929934,0.43843843843843844,91.991991991992,59.75975975975976,20.42042042042042,371,0.5,1.0,0.6666666666666666
11.211211211211213,0.14114114114114115,52.152152152152155,50.550550550550554,4.654654654654655,774,1.0,0.5,0.6666666666666666
2.4024024024024024,0.8818818818818819,11.211211211211213,15.615615615615617,32.132132132132135,164,0.5,1.0,0.6666666666666666
40.590590590590594,0.6966966966966966,43.24324324324325,61.06106106106107,3.2532532532532534,395,0.0,0.0,0.0
19.51951951951952,0.6106106106106106,47.94794794794795,54.154154154154156,12.862862862862864,995,0.5,1.0,0.6666666666666666
28.32832832832833,0.8818818818818819,96.5965965965966,1.1011011011011012,34.83483483483484,739,0.0,0.0,0.0
5.855855855855856,0.6986986986986987,90.6906906906907,54.95495495495496,38.43843843843844,274,1.0,1.0,1.0
39.38938938938939,0.6566566566566566,34.83483483483484,11.411411411411413,15.015015015015017,446,0.0,0.0,0.0
8.058058058058059,0.46446446446446443,0.3003003003003003,97.6976976976977,36.98698698698699,897,1.0,1.0,1.0
36.83683683683684,0.26926926926926925,99.5995995995996,51.251251251251254,39.03903903903904,183,0.0,0.0,0.0
25.975975975975977,0.934934934934935,10.810810810810812,89.1891891891892,32.032032032032035,306,1.0,1.0,1.0
43.093093093093096,0.6546546546546547,51.951951951951955,62.36236236236237,10.16016016016016,157,0.0,0.0,0.0
19.11911911911912,0.7807807807807807,16.516516516516518,55.25525525525526,48.84884884884885,798,0.5,1.0,0.6666666666666666
47.24724724724725,0.5435435435435435,94.0940940940941,0.0,30.680680680680684,332,0.0,0.0,0.0
25.025025025025027,0.01901901901901902,11.411411411411413,95.1951951951952,18.56856856856857,900,1.0,1.0,1.0
42.592592592592595,0.8268268268268268,31.431431431431434,24.524524524524526,2.9529529529529532,247,0.0,0.0,0.0
44.994994994995,0.5805805805805806,96.996996996997,8.008008008008009,4.354354354354355,750,0.0,0.0,0.0
24.874874874874877,0.8358358358358359,7.007007007007007,77.87787787787788,27.27727727727728,785,1.0,1.0,1.0
6.406406406406407,0.13113113113113112,67.56756756756756,48.64864864864865,48.4984984984985,563,1.0,1.0,1.0
8.458458458458459,0.27127127127127126,54.054054054054056,89.3893893893894,31.081081081081084,434,1.0,1.0,1.0
49.3993993993994,0.21621621621621623,95.1951951951952,55.25525525525526,38.68868868868869,748,0.0,0.0,0.0
35.33533533533534,0.20520520520520522,73.07307307307308,31.931931931931935,20.42042042042042,688,0.0,0.0,0.0
33.28328328328328,0.38238238238238237,44.84484484484485,92.1921921921922,26.476476476476478,463,1.0,1.0,1.0
6.156156156156157,0.25325325325325326,23.023023023023026,6.506506506506507,17.31731731731732,22,0.5,1.0,0.6666666666666666
30.130130130130134,0.5675675675675675,23.523523523523526,60.26026026026027,11.261261261261263,8,0.0,0.0,0.0
3.6036036036036037,0.7247247247247247,64.66466466466467,6.0060060060060065,11.711711711711713,70,0.5,1.0,0.6666666666666666
46.3963963963964,0.03203203203203203,88.0880880880881,33.833833833833836,3.6036036036036037,527,0.0,0.0,0.0
12.162162162162163,0.2852852852852853,68.56856856856858,49.74974974974975,10.960960960960962,553,1.0,1.0,1.0
6.756756756756757,0.7407407407407407,95.7957957957958,90.3903903903904,29.22922922922923,591,1.0,1.0,1.0
24.224224224224226,0.24824824824824826,80.38038038038039,48.44844844844845,41.34134134134134,417,0.5,0.5,0.5
9.70970970970971,0.0960960960960961,9.90990990990991,67.46746746746747,22.072072072072075,363,1.0,1.0,1.0
21.671671671671675,0.42042042042042044,47.84784784784785,88.4884884884885,37.33733733733734,56,1.0,1.0,1.0
34.48448448448449,0.6696696696696697,66.16616616616616,10.01001001001001,3.1031031031031033,413,0.0,0.0,0.0
37.28728728728729,0.34734734734734735,81.98198198198199,88.2882882882883,5.555555555555556,255,0.0,0.0,0.0
9.80980980980981,0.1941941941941942,54.95495495495496,45.94594594594595,7.157157157157157,433,1.0,1.0,1.0
9.35935935935936,0.2852852852852853,47.34734734734735,25.525525525525527,44.7947947947948,946,0.5,1.0,0.6666666666666666
3.8538538538538543,0.45345345345345345,82.78278278278279,88.2882882882883,43.84384384384385,564,1.0,1.0,1.0
5.005005005005005,0.05105105105105105,66.76676676676676,55.35535535535536,42.84284284284285,16,0.0,0.0,0.0
49.64964964964965,0.09509509509509509,94.8948948948949,77.17717717717719,43.493493493493496,243,0.0,0.0,0.0
8.508508508508509,0.4164164164164164,49.74974974974975,49.24924924924925,10.910910910910912,886,1.0,1.0,1.0
20.52052052052052,0.924924924924925,6.0060060060060065,16.816816816816818,19.41941941941942,3,0.0,0.0,0.0
19.96996996996997,0.27127127127127126,94.8948948948949,80.28028028028028,40.190190190190194,466,1.0,1.0,1.0
14.614614614614615,0.43343343343343343,71.37137137137138,98.0980980980981,37.43743743743744,803,1.0,1.0,1.0
28.47847847847848,0.6776776776776777,73.57357357357358,49.84984984984985,7.907907907907909,195,0.0,0.0,0.0
15.165165165165167,0.2222222222222222,99.1991991991992,5.9059059059059065,29.67967967967968,754,0.0,0.0,0.0
27.77777777777778,0.062062062062062065,76.57657657657658,32.132132132132135,2.902902902902903,52,0.0,0.0,0.0
29.929929929929934,0.48848848848848847,51.451451451451454,94.1941941941942,43.693693693693696,544,0.5,1.0,0.6666666666666666
8.058058058058059,0.058058058058058054,98.3983983983984,52.052052052052055,4.104104104104104,872,1.0,1.0,1.0
9.50950950950951,0.07007007007007007,60.96096096096097,6.906906906906907,34.58458458458459,883,0.5,0.5,0.5
12.012012012012013,0.4134134134134134,12.212212212212213,96.4964964964965,45.5955955955956,584,1.0,1.0,1.0
12.612612612612613,0.5925925925925926,60.86086086086087,4.004004004004004,31.731731731731735,84,0.0,0.0,0.0
21.471471471471475,0.6736736736736737,59.75975975975976,57.85785785785786,26.776776776776778,324,0.5,1.0,0.6666666666666666
47.8978978978979,0.26726726726726724,20.92092092092092,68.56856856856858,36.68668668668669,322,0.0,0.0,0.0
12.212212212212213,0.27127127127127126,40.54054054054054,13.413413413413414,34.38438438438439,661,0.5,1.0,0.6666666666666666
