sigma,gauss_threshold,overlap_threshold,center_distance,number_samples,recall,precision,f1_score
6.546546546546547,0.11411411411411411,2.5025025025025025,22.792792792792792,36,0.0,0.0,0.0
2.5025025025025025,0.22822822822822822,14.214214214214214,22.64264264264264,14,1.0,1.0,1.0
6.926926926926927,0.7587587587587588,91.3913913913914,16.756756756756758,12,1.0,1.0,1.0
6.046046046046046,0.43243243243243246,3.2032032032032034,0.9009009009009009,12,0.0,0.0,0.0
2.2322322322322323,0.23823823823823823,51.751751751751755,18.4984984984985,4,0.0,0.0,0.0
5.7457457457457455,0.2032032032032032,73.37337337337338,19.96996996996997,90,1.0,1.0,1.0
5.585585585585585,0.4294294294294294,22.522522522522525,13.783783783783784,76,0.0,0.0,0.0
2.8428428428428427,0.8288288288288288,89.0890890890891,0.18018018018018017,98,0.0,0.0,0.0
8.258258258258259,0.16316316316316315,71.47147147147147,12.972972972972974,44,0.0,0.0,0.0
2.8428428428428427,0.15915915915915915,22.022022022022025,29.42942942942943,98,1.0,1.0,1.0
3.4434434434434436,0.1041041041041041,9.40940940940941,11.681681681681681,13,1.0,1.0,1.0
3.6736736736736737,0.8678678678678678,35.23523523523524,18.55855855855856,34,1.0,1.0,1.0
8.268268268268269,0.044044044044044044,74.77477477477478,14.114114114114114,69,0.0,0.0,0.0
1.2712712712712713,0.996996996996997,94.4944944944945,11.621621621621621,11,1.0,1.0,1.0
5.655655655655655,0.3003003003003003,84.98498498498499,19.30930930930931,80,1.0,1.0,1.0
9.06906906906907,0.8828828828828829,37.03703703703704,17.74774774774775,25,0.0,0.0,0.0
7.217217217217217,0.07107107107107107,4.604604604604605,20.33033033033033,30,1.0,1.0,1.0
7.917917917917918,0.2962962962962963,8.108108108108109,26.276276276276278,30,1.0,1.0,1.0
8.87887887887888,0.1031031031031031,38.93893893893894,8.528528528528529,59,0.0,0.0,0.0
6.506506506506507,0.8548548548548548,37.33733733733734,4.984984984984985,48,0.0,0.0,0.0
3.6336336336336337,0.21421421421421422,68.66866866866867,8.198198198198199,90,0.0,0.0,0.0
9.5995995995996,0.6996996996996997,66.36636636636636,2.1921921921921923,78,0.0,0.0,0.0
6.506506506506507,0.17517517517517517,54.65465465465466,22.4024024024024,32,1.0,1.0,1.0
1.6716716716716717,0.47347347347347346,38.83883883883884,8.288288288288289,82,1.0,1.0,1.0
7.047047047047047,0.5705705705705706,22.422422422422425,21.05105105105105,42,0.0,0.0,0.0
8.63863863863864,0.7867867867867868,79.47947947947948,1.7117117117117118,30,0.0,0.0,0.0
8.418418418418419,0.03203203203203203,82.48248248248248,9.6996996996997,52,0.0,0.0,0.0
2.7427427427427427,0.06706706706706707,21.621621621621625,28.07807807807808,73,1.0,1.0,1.0
8.97897897897898,0.7357357357357357,32.232232232232235,6.516516516516517,84,0.0,0.0,0.0
5.115115115115115,0.40540540540540543,90.5905905905906,28.10810810810811,83,1.0,1.0,1.0
4.694694694694695,0.14614614614614616,27.127127127127128,4.2642642642642645,32,0.0,0.0,0.0
7.627627627627628,0.5745745745745746,55.15515515515516,8.078078078078079,96,0.0,0.0,0.0
5.985985985985986,0.43843843843843844,91.991991991992,17.92792792792793,52,1.0,1.0,1.0
3.7037037037037037,0.22422422422422422,14.114114114114114,15.645645645645645,64,1.0,1.0,1.0
0.9309309309309309,0.7737737737737738,4.804804804804805,26.456456456456458,15,1.0,1.0,1.0
1.5615615615615615,0.6426426426426426,16.316316316316318,24.354354354354353,88,1.0,1.0,1.0
4.324324324324325,0.6106106106106106,6.506506506506507,11.831831831831831,49,1.0,1.0,1.0
6.106106106106106,0.4794794794794795,54.154154154154156,7.717717717717718,71,0.0,0.0,0.0
8.81881881881882,0.965965965965966,1.1011011011011012,20.9009009009009,93,0.0,0.0,0.0
1.1711711711711712,0.6986986986986987,90.6906906906907,16.486486486486488,97,1.0,1.0,1.0
2.7327327327327327,0.7877877877877878,65.66566566566567,10.45045045045045,15,1.0,1.0,1.0
3.003003003003003,0.44544544544544545,16.116116116116117,13.933933933933934,1,0.0,0.0,0.0
9.76976976976977,0.7397397397397397,89.6896896896897,22.1021021021021,34,0.0,0.0,0.0
9.95995995995996,0.5125125125125125,78.07807807807808,5.465465465465465,65,0.0,0.0,0.0
9.34934934934935,0.10810810810810811,89.1891891891892,19.21921921921922,39,0.0,0.0,0.0
8.618618618618619,0.6546546546546547,51.951951951951955,18.70870870870871,26,0.0,0.0,0.0
1.5615615615615615,0.38238238238238237,78.07807807807808,4.954954954954955,70,1.0,1.0,1.0
9.76976976976977,0.7977977977977978,94.4944944944945,16.306306306306308,1,0.0,0.0,0.0
6.136136136136136,0.3313313313313313,50.050050050050054,0.5705705705705706,15,0.0,0.0,0.0
9.51951951951952,0.3713713713713714,89.98998998999,25.555555555555554,40,1.0,1.0,1.0
2.4524524524524525,0.05905905905905906,24.624624624624627,26.996996996996998,73,1.0,1.0,1.0
9.6996996996997,0.08008008008008008,8.70870870870871,22.49249249249249,63,0.0,0.0,0.0
8.358358358358359,0.07007007007007007,77.87787787787788,16.366366366366368,99,0.0,0.0,0.0
1.2812812812812813,0.13113113113113112,67.56756756756756,14.594594594594595,71,1.0,1.0,1.0
1.6916916916916918,0.27127127127127126,54.054054054054056,26.816816816816818,78,1.0,1.0,1.0
4.334334334334335,0.9879879879879879,21.621621621621625,28.55855855855856,70,1.0,1.0,1.0
7.737737737737738,0.7477477477477478,70.67067067067067,6.156156156156156,92,0.0,0.0,0.0
3.193193193193193,0.4084084084084084,68.76876876876878,19.96996996996997,48,1.0,1.0,1.0
4.484484484484485,0.9219219219219219,52.952952952952955,13.873873873873874,16,1.0,1.0,1.0
2.5325325325325325,0.23023023023023023,6.506506506506507,10.39039039039039,3,0.0,0.0,0.0
6.026026026026026,0.5675675675675675,23.523523523523526,18.07807807807808,29,1.0,1.0,1.0
0.07007007007007007,0.07207207207207207,72.47247247247248,19.3993993993994,8,0.0,0.0,0.0
2.3423423423423424,0.06906906906906907,92.7927927927928,0.960960960960961,43,0.0,0.0,0.0
0.7207207207207207,0.5265265265265265,24.324324324324326,8.558558558558559,86,1.0,1.0,1.0
4.974974974974975,0.21921921921921922,55.25525525525526,4.054054054054054,93,0.0,0.0,0.0
9.57957957957958,0.9039039039039038,58.45845845845846,17.71771771771772,61,0.0,0.0,0.0
2.4824824824824825,0.8038038038038038,48.44844844844845,24.804804804804803,53,1.0,1.0,1.0
1.941941941941942,0.0960960960960961,9.90990990990991,20.24024024024024,56,1.0,1.0,1.0
3.6236236236236237,0.43343343343343343,42.04204204204204,14.354354354354355,94,1.0,1.0,1.0
0.5505505505505506,0.6896896896896897,66.96696696696696,19.84984984984985,13,1.0,1.0,1.0
0.6206206206206206,0.4124124124124124,74.57457457457458,10.42042042042042,14,1.0,1.0,1.0
2.5425425425425425,0.1961961961961962,19.41941941941942,16.486486486486488,58,1.0,1.0,1.0
1.4314314314314314,0.43243243243243246,18.71871871871872,8.558558558558559,60,1.0,1.0,1.0
2.5525525525525525,0.8958958958958959,94.5945945945946,2.3123123123123124,57,0.0,0.0,0.0
8.278278278278279,0.8828828828828829,87.6876876876877,16.906906906906908,13,0.0,0.0,0.0
0.5105105105105106,0.6676676676676676,55.35535535535536,25.705705705705707,2,0.0,0.0,0.0
9.92992992992993,0.09509509509509509,94.8948948948949,23.153153153153152,31,0.0,0.0,0.0
1.7017017017017018,0.4164164164164164,49.74974974974975,14.774774774774775,28,1.0,1.0,1.0
8.85885885885886,0.41041041041041043,92.4924924924925,1.8018018018018018,22,0.0,0.0,0.0
3.883883883883884,0.002002002002002002,39.93993993993994,8.138138138138139,59,0.0,0.0,0.0
2.9229229229229228,0.43343343343343343,71.37137137137138,29.42942942942943,94,1.0,1.0,1.0
8.028028028028029,0.5695695695695696,67.76776776776777,22.07207207207207,63,1.0,1.0,1.0
1.5815815815815815,0.1941941941941942,30.330330330330334,6.666666666666667,8,0.0,0.0,0.0
5.935935935935936,0.7537537537537538,55.55555555555556,1.8618618618618619,96,0.0,0.0,0.0
3.2132132132132134,0.058058058058058054,5.105105105105105,17.95795795795796,62,1.0,1.0,1.0
5.145145145145145,0.9419419419419419,87.38738738738739,16.306306306306308,21,1.0,1.0,1.0
0.5805805805805806,0.983983983983984,52.052052052052055,2.4624624624624625,24,1.0,1.0,1.0
0.7007007007007007,0.6096096096096096,6.906906906906907,20.75075075075075,31,1.0,1.0,1.0
4.134134134134134,0.12212212212212212,96.4964964964965,27.35735735735736,73,1.0,1.0,1.0
2.5225225225225225,0.5925925925925926,60.86086086086087,1.2012012012012012,80,0.0,0.0,0.0
0.8308308308308309,0.4294294294294294,67.36736736736736,17.92792792792793,73,1.0,1.0,1.0
5.355355355355355,0.3233233233233233,95.7957957957958,8.018018018018019,27,0.0,0.0,0.0
6.856856856856857,0.7337337337337337,32.132132132132135,7.327327327327327,34,0.0,0.0,0.0
4.054054054054054,0.13413413413413414,68.76876876876878,19.81981981981982,39,1.0,1.0,1.0
4.684684684684685,0.3233233233233233,95.1951951951952,23.093093093093092,10,0.0,0.0,0.0
0.09009009009009009,0.4694694694694695,63.66366366366367,17.2972972972973,13,1.0,1.0,1.0
0.7507507507507507,0.5505505505505506,21.821821821821825,15.555555555555555,34,1.0,1.0,1.0
1.3513513513513513,0.955955955955956,35.73573573573574,27.087087087087088,9,0.0,0.0,0.0
9.00900900900901,0.2502502502502503,37.83783783783784,8.73873873873874,21,0.0,0.0,0.0
4.484484484484485,0.8538538538538538,55.65565565565566,21.62162162162162,39,1.0,1.0,1.0
6.266266266266266,0.8268268268268268,66.96696696696696,16.246246246246248,2,0.0,0.0,0.0
6.836836836836837,0.8368368368368369,56.75675675675676,9.18918918918919,85,0.0,0.0,0.0
1.0610610610610611,0.9619619619619619,89.98998998999,4.114114114114114,34,1.0,1.0,1.0
1.1811811811811812,0.9119119119119119,10.910910910910912,22.822822822822822,71,1.0,1.0,1.0
1.5915915915915915,0.2782782782782783,28.82882882882883,18.58858858858859,27,1.0,1.0,1.0
7.347347347347347,0.35135135135135137,20.82082082082082,21.11111111111111,82,1.0,1.0,1.0
8.73873873873874,0.2702702702702703,51.751751751751755,15.015015015015015,33,0.0,0.0,0.0
9.27927927927928,0.92992992992993,86.6866866866867,1.5615615615615615,12,0.0,0.0,0.0
6.496496496496497,0.43343343343343343,84.98498498498499,8.498498498498499,6,0.0,0.0,0.0
0.03003003003003003,0.34134134134134136,78.97897897897899,3.993993993993994,82,1.0,1.0,1.0
2.6826826826826826,0.16516516516516516,75.97597597597598,13.573573573573574,71,1.0,1.0,1.0
7.227227227227227,0.43743743743743746,57.45745745745746,0.2702702702702703,15,0.0,0.0,0.0
0.7707707707707707,0.9679679679679679,90.4904904904905,21.23123123123123,20,1.0,1.0,1.0
5.585585585585585,0.036036036036036036,85.4854854854855,11.35135135135135,75,0.0,0.0,0.0
5.655655655655655,0.15115115115115116,44.04404404404405,3.903903903903904,6,0.0,0.0,0.0
